northing, easting, zone, longitude, latitude
4476160,446352,30,-3.6325171382969983,40.43435272950704
4475817,446491,30,-3.6308495266790612,40.43127174102834
4475821,446535,30,-3.6303311506749516,40.431310604700606
4475626,446595,30,-3.6296074317522944,40.429557784932356
4475664,446608,30,-3.6294573714023874,40.429900945749715
4475481,446709,30,-3.6282513730785193,40.4282588503913
4475180,446833,30,-3.626764439489558,40.42555519725302
4475357,446778.8,30,-3.627418161973143,40.42714625327779
4475204,446875,30,-3.62627135174895,40.425774086604854
4474836,447024.1,30,-3.624483105088786,40.42246842770626
4475314,442897,30,-3.6731734670690943,40.426501496671825
4474610,446826,30,-3.6267992904249104,40.42041984664266
4474588,446814.4,30,-3.6269341801698176,40.42022091595707
4474724,446663,30,-3.6287301375232834,40.42143639520942
4474704,446654.7,30,-3.628826293645399,40.42125569110655
4474850,446480,30,-3.6308978000883028,40.42255972784468
4474835,446475.5,30,-3.630949580810301,40.42242430944109
4474985,446299,30,-3.633042719396684,40.42376422547445
4474958,446305.2,30,-3.6329673562742086,40.42352139367686
4475110,446220,30,-3.6339845125021846,40.4248851962553
4475123,446435,30,-3.6314512305453777,40.42501617795853
4480132,442645,30,-3.6765791557951957,40.46988698932727
4477366,442808.2,30,-3.6744049153145566,40.44498083321775
4483339,443561.2,30,-3.6660575640243085,40.4988398011734
4483309,443558.6,30,-3.6660855727997887,40.498569371916076
4483404,443365,30,-3.6683786632001496,40.49941198044719
4483539,443335.1,30,-3.6687435822165377,40.50062607416755
4477433,442875.3,30,-3.673619750603659,40.44558901472592
4477248,444616.2,30,-3.653076051164641,40.44404023447233
4475208,440839,30,-3.697423193183034,40.425402795570086
4475794,440786,30,-3.6981025252784923,40.43067798524832
4475780,440766,30,-3.6983369937345363,40.43055044284032
4475947,440729,30,-3.6987887455805764,40.43205221972843
4476152,440893,30,-3.6968744313285136,40.43391062404402
4476143,440848,30,-3.6974041086087714,40.43382634875294
4476223,441218,30,-3.6930494990189864,40.43457325793748
4476253,441205,30,-3.6932055359948093,40.434842592938296
4476233,441402,30,-3.690881180491834,40.434676326795255
4475985,439442.4,30,-3.7139599200746773,40.43230186406193
4468921,439623.6,30,-3.711153813474719,40.3686791234223
4479090,442017,30,-3.6838915448287377,40.460456603149616
4479133,442021,30,-3.6838482973187006,40.46084424520056
4479074,442257,30,-3.68105955360765,40.46032918045308
4479108,442255,30,-3.681086234713592,40.460635328632655
4479081,442602,30,-3.676991296295213,40.46041614222389
4479119,442597,30,-3.67705370262716,40.460758118058166
4479055,442841,30,-3.674170210797907,40.46019839696261
4479048,443109,30,-3.671008824222425,40.46015372950576
4479096,443383,30,-3.667781583597065,40.46060485027515
4479125,443363,30,-3.668020050613017,40.460864732937324
4478908,443531,30,-3.6660193514368116,40.45892132794301
4478959,443559.6,30,-3.6656865874065105,40.459382703239434
4478697,443549,30,-3.6657883009552554,40.45702176201808
4478701,443575,30,-3.665482029731602,40.457059561654646
4478475,443514,30,-3.6661813147206272,40.455019501129506
4478472,443536,30,-3.665921602211397,40.45499397062303
4478262,443495.8,30,-3.6663769906127963,40.45309945703402
4478230,443523,30,-3.666053384142844,40.45281303417263
4477922,443506,30,-3.6662264557163073,40.45003726467501
4477955,443638.1,30,-3.664671645975291,40.450343512322426
4479104,442796,30,-3.6747053512781322,40.4606367147542
4468809,439465,30,-3.7130111410608015,40.36765866634595
4476293,441460,30,-3.6902029238573784,40.435220919332
4476214,440978,30,-3.695878105281491,40.434475184761745
4473200,440573.4,30,-3.700366420086187,40.40729484235278
4473176,440590,30,-3.7001685557480375,40.40707982331842
4473118,440349.7,30,-3.70299494094943,40.406540147833944
4473103,440382,30,-3.7026128986826263,40.40640733416573
4473035,440108,30,-3.705835425481494,40.405775090771655
4473014,440119.3,30,-3.7057002871884426,40.40558672542194
4472948,439858,30,-3.7087732752533324,40.404973330926644
4472750,439579.9,30,-3.7120316479264814,40.40316951743152
4472728,439585.3,30,-3.711965927207928,40.40297172278731
4472290,439239,30,-3.716004843216447,40.39900081287961
4472293,439292,30,-3.715380625886948,40.39903170376011
4472150,439088,30,-3.7177706939760444,40.39772859534937
